region,stocklong,stockid,year_eez,year_fao,year_nat,policy_nat,primary_country
US northeast,Pollock Gulf of Maine / Georges Bank,POLL5YZ,1976,1995,1996,Sustainable Fisheries Act,USA
US northeast,Sea scallop Georges Bank and Mid-Atlantic Bight,SCALL5ZMAB,1976,1995,1996,Sustainable Fisheries Act,USA
US northeast,White hake Gulf of Maine / Georges Bank,WHAKEGBGOM,1976,1995,1996,Sustainable Fisheries Act,USA
US northeast,Windowpane flounder Gulf of Maine / Georges Bank,WINDOWGOMGB,1976,1995,1996,Sustainable Fisheries Act,USA
US northeast,Windowpane flounder Southern New England /Mid Atlantic,WINDOWSNEMATL,1976,1995,1996,Sustainable Fisheries Act,USA
US northeast,Winter flounder Southern New England /Mid Atlantic,WINFLOUNSNEMATL,1976,1995,1996,Sustainable Fisheries Act,USA
US northeast,Winter flounder Georges Bank,WINFLOUN5Z,1976,1995,1996,Sustainable Fisheries Act,USA
US northeast,Witch flounder Gulf of Maine,WITFLOUN5Y,1976,1995,1996,Sustainable Fisheries Act,USA
US northeast,Yellowtail flounder Cape Cod / Gulf of Maine,YELLCCODGOM,1976,1995,1996,Sustainable Fisheries Act,USA
US northeast,Yellowtail flounder Georges Bank,YELLGB,1976,1995,1996,Sustainable Fisheries Act,USA
US northeast,Yellowtail flounder Southern New England /Mid Atlantic,YELLSNEMATL,1976,1995,1996,Sustainable Fisheries Act,USA
US northeast,Northern shrimp Gulf of Maine,PANDALGOM,1976,1995,1996,Sustainable Fisheries Act,USA
US northeast,Atlantic croaker Mid-Atlantic Coast,ATLCROAKMATLC,1976,1995,1996,Sustainable Fisheries Act,USA
US northeast,Black sea bass Mid-Atlantic Coast,BSBASSMATLC,1976,1995,1996,Sustainable Fisheries Act,USA
US northeast,Summer flounder Mid-Atlantic Coast,SFLOUNMATLC,1976,1995,1996,Sustainable Fisheries Act,USA
US northeast,Blue crab Chesapeake Bay,BCRABCHESB,1976,1995,1996,Sustainable Fisheries Act,USA
US northeast,Herring Northwestern Atlantic Coast,HERRNWATLC,1976,1995,1996,Sustainable Fisheries Act,USA
US northeast,Bluefish Atlantic Coast,BLUEFISHATLC,1976,1995,1996,Sustainable Fisheries Act,USA
US northeast,Longfin inshore squid Atlantic Coast,LISQUIDATLC,1976,1995,1996,Sustainable Fisheries Act,USA
US northeast,Scup Northwestern Atlantic Coast,SCUPNWATLC,1976,1995,1996,Sustainable Fisheries Act,USA
US northeast,Striped bass Gulf of Maine / Cape Hatteras,STRIPEDBASSGOMCHATT,1976,1995,1996,Sustainable Fisheries Act,USA
US northeast,Atlantic menhaden Atlantic,MENATLAN,1976,1995,1996,Sustainable Fisheries Act,USA
US northeast,Tilefish Mid-Atlantic Coast,TILEMATLC,1976,1995,1996,Sustainable Fisheries Act,USA
US southeast,Tilefish Southern Atlantic coast,TILESATLC,1976,1995,1996,Sustainable Fisheries Act,USA
US southeast,Black grouper Gulf of Mexico and South Atlantic,BLACKGROUPERGMSATL,1976,1995,1996,Sustainable Fisheries Act,USA
US southeast,Black sea bass South Atlantic,BSBASSSATL,1976,1995,1996,Sustainable Fisheries Act,USA
US southeast,Gag Gulf of Mexico,GAGGM,1976,1995,1996,Sustainable Fisheries Act,USA
US southeast,Gag Southern Atlantic coast,GAGSATLC,1976,1995,1996,Sustainable Fisheries Act,USA
US southeast,Greater amberjack Gulf of Mexico,GRAMBERGM,1976,1995,1996,Sustainable Fisheries Act,USA
US southeast,Gray triggerfish Gulf of Mexico,GTRIGGM,1976,1995,1996,Sustainable Fisheries Act,USA
US southeast,Mutton snapper Southern Atlantic coast and Gulf of Mexico,MUTSNAPSATLCGM,1976,1995,1996,Sustainable Fisheries Act,USA
US southeast,Red grouper South Atlantic,RGROUPSATL,1976,1995,1996,Sustainable Fisheries Act,USA
US southeast,Red porgy Southern Atlantic coast,RPORGYSATLC,1976,1995,1996,Sustainable Fisheries Act,USA
US southeast,Red snapper Gulf of Mexico,RSNAPGM,1976,1995,1996,Sustainable Fisheries Act,USA
US southeast,Red snapper Southern Atlantic coast,RSNAPSATLC,1976,1995,1996,Sustainable Fisheries Act,USA
US southeast,Snowy grouper Southern Atlantic coast,SNOWGROUPSATLC,1976,1995,1996,Sustainable Fisheries Act,USA
US southeast,King mackerel Gulf of Mexico,KMACKGM,1976,1995,1996,Sustainable Fisheries Act,USA
US southeast,Spanish mackerel Gulf of Mexico,SPANMACKGM,1976,1995,1996,Sustainable Fisheries Act,USA
US southeast,Spanish mackerel Southern Atlantic coast,SPANMACKSATLC,1976,1995,1996,Sustainable Fisheries Act,USA
US southeast,Bonnethead shark Atlantic,BHEADSHARATL,1976,1995,1996,Sustainable Fisheries Act,USA
US southeast,Blacknose shark Atlantic,BNOSESHARATL,1976,1995,1996,Sustainable Fisheries Act,USA
US southeast,Sandbar shark Atlantic,SBARSHARATL,1976,1995,1996,Sustainable Fisheries Act,USA
US southeast,Brown shrimp Gulf of Mexico,BRNSHRIMPGM,1976,1995,1996,Sustainable Fisheries Act,USA
US southeast,White shrimp Gulf of Mexico,WSHRIMPGM,1976,1995,1996,Sustainable Fisheries Act,USA
